	0
129	http://www.worldportsource.com/ports/AUS_Port_of_Karumba_492.php
130	http://www.worldportsource.com/ports/AUS_Port_of_Kingscote_4351.php
131	http://www.worldportsource.com/ports/AUS_Klein_Point_685.php
132	http://www.worldportsource.com/ports/AUS_Port_of_Koolan_Island_3284.php
133	http://www.worldportsource.com/ports/AUS_Port_of_Kwinana_4352.php
134	http://www.worldportsource.com/ports/AUS_Port_of_Lady_Barron_1640.php
135	http://www.worldportsource.com/ports/AUS_Port_of_Long_Reach_4353.php
136	http://www.worldportsource.com/ports/AUS_Port_of_Lucinda_1516.php
137	http://www.worldportsource.com/ports/AUS_Mackay_Seaport_493.php
138	http://www.worldportsource.com/ports/AUS_Port_of_Maryborough_3301.php
139	http://www.worldportsource.com/ports/AUS_Port_of_Milner_Bay_3302.php
140	http://www.worldportsource.com/ports/AUS_Port_of_Mourilyan_1518.php
141	http://www.worldportsource.com/ports/AUS_Port_of_Nhulunbuy_3282.php
142	http://www.worldportsource.com/ports/AUS_Port_of_Penneshaw_4354.php
143	http://www.worldportsource.com/ports/AUS_Port_of_Perth_4355.php
144	http://www.worldportsource.com/ports/AUS_Port_of_Pinkenba_4356.php
145	http://www.worldportsource.com/ports/AUS_Port_of_Point_Murat_4345.php
146	http://www.worldportsource.com/ports/AUS_Port_of_Port_Alma_710.php
147	http://www.worldportsource.com/ports/AUS_Port_Augusta_4357.php
148	http://www.worldportsource.com/ports/AUS_Port_of_Port_Bonython_3307.php
149	http://www.worldportsource.com/ports/AUS_Port_Giles_684.php
150	http://www.worldportsource.com/ports/AUS_Port_of_Hedland_708.php
151	http://www.worldportsource.com/ports/AUS_Port_Huon_4358.php
152	http://www.worldportsource.com/ports/AUS_Port_Latta_4361.php
153	http://www.worldportsource.com/ports/AUS_Port_Lincoln_680.php
154	http://www.worldportsource.com/ports/AUS_Port_Pirie_681.php
155	http://www.worldportsource.com/ports/AUS_Port_Stanvac_4362.php
156	http://www.worldportsource.com/ports/AUS_Port_of_Port_Walcott_3304.php
